id,category,text,gold,naive_pred,naive_correct,punkt_pred,punkt_correct,spacy_pred,spacy_correct
1,Abbreviation,Dr. Smith arrived late for the meeting.,Dr. Smith arrived late for the meeting.,Dr || Smith arrived late for the meeting,False,Dr. Smith arrived late for the meeting.,True,Dr. Smith arrived late for the meeting.,True
2,MAbbreviation,Mr. and Mrs. Johnson live in Chennai.,Mr. and Mrs. Johnson live in Chennai.,Mr || and Mrs || Johnson live in Chennai,False,Mr. and Mrs. Johnson live in Chennai.,True,Mr. and Mrs. Johnson live in Chennai.,True
3,Abbreviation,The meeting starts at 10 a.m. tomorrow.,The meeting starts at 10 a.m. tomorrow.,The meeting starts at 10 a || m || tomorrow,False,The meeting starts at 10 a.m. tomorrow.,True,The meeting starts at 10 a.m. tomorrow.,True
4,Decimal numbers,She earned 3.75 out of 4.0 in the exam.,She earned 3.75 out of 4.0 in the exam.,She earned 3 || 75 out of 4 || 0 in the exam,False,She earned 3.75 out of 4.0 in the exam.,True,She earned 3.75 out of 4.0 in the exam.,True
5,Initials,The U.S.A. team won the match easily.,The U.S.A. team won the match easily.,The U || S || A || team won the match easily,False,The U.S.A. team won the match easily.,True,The U.S.A. team won the match easily.,True
6,Initials,J.K. Rowling wrote several famous novels.,J.K. Rowling wrote several famous novels.,J || K || Rowling wrote several famous novels,False,J.K. Rowling wrote several famous novels.,True,J.K. Rowling wrote several famous novels.,True
7,Ellipsis,Wait... I am not ready yet.,Wait... || I am not ready yet.,Wait || I am not ready yet,False,Wait... || I am not ready yet.,True,Wait... I am not ready yet.,False
8,Multiple punctuation,What?! Are you serious?,What?! || Are you serious?,What || Are you serious,False,What?! || Are you serious?,True,What?! || Are you serious?,True
9,Quotes,"She said, ""I will come tomorrow.""","She said, ""I will come tomorrow.""","She said, ""I will come tomorrow || """,False,"She said, ""I will come tomorrow.""",True,"She said, ""I will come tomorrow.""",True
10,Quotes,"Did he really say ""No."" and leave?","Did he really say ""No."" and leave?","Did he really say ""No || "" and leave",False,"Did he really say ""No."" || and leave?",False,"Did he really say ""No."" and leave?",True
11,Decimal Numbers,Please refer to Sec. 3.2 for details.,Please refer to Sec. 3.2 for details.,Please refer to Sec || 3 || 2 for details,False,Please refer to Sec. || 3.2 for details.,False,Please refer to Sec. 3.2 for details.,True
12,Abbreviation,The price is Rs. 250 only.,The price is Rs. 250 only.,The price is Rs || 250 only,False,The price is Rs. || 250 only.,False,The price is Rs. 250 only.,True
13,Link,My email is abc.xyz@example.com for official contact.,My email is abc.xyz@example.com for official contact.,My email is abc || xyz@example || com for official contact,False,My email is abc.xyz@example.com for official contact.,True,My email is abc.xyz@example.com for official contact.,True
14,Link,Visit www.example.com for more information.,Visit www.example.com for more information.,Visit www || example || com for more information,False,Visit www.example.com for more information.,True,Visit www.example.com for more information.,True
15,Abbreviation,He lives on St. Thomas Road near the church.,He lives on St. Thomas Road near the church.,He lives on St || Thomas Road near the church,False,He lives on St. Thomas Road near the church.,True,He lives on St. Thomas Road near the church.,True
